year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,0,4.3,0,0.1,1.3,2.9,0,0.1,0,4.8,0,0,0,0,0,0.1,0,0,0,0,0,0,0,11.5,1.7,0,0.1,0,0.5,0,0,0.1,0,0,0.7,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1962,0,0,0,4.4,0,0,1.3,2.9,0,0.1,0,5,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,9.6,1.5,0,0.1,0,1.3,0,0,0.1,0,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1963,0,0,0,4.6,0,0.1,1.4,3.9,0,0.1,0,5.7,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,7.3,1.3,0,0.1,0,0.5,0,0,0.1,0,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1964,0,0,0,4.9,0,0.1,1.9,4.7,0,0.1,0,5.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,10.3,1.5,0,0,0,0.9,0,0,0.1,0,0,0.7,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1965,0,0,0,5.2,0,0.1,1.5,5.3,0,0.1,0,5.2,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.1,10.4,1.5,0,0,0,0.8,0,0,0.1,0,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1966,0,0,0,5.4,0,0.1,1.7,4.4,0,0,0,5.4,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.6,10.7,1.2,0,0,0,0.6,0,0,0.2,0,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1967,0,0,0,5.3,0,0.1,1.8,4.2,0,0.1,0,6,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.3,10.1,1.4,0,0,0,0.2,0,0,0.1,0,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1968,0,0,0,5,0,0.1,2,3.5,0,0.1,0,6.2,0.1,0,0,0,0,0.1,0,0,0,0,0,0,1.1,10.4,1.1,0,0,0,1,0,0,0.1,0,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1969,0,0,0,5.6,0,0.1,1.8,4.9,0,0.1,0,5.5,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.8,8.8,1.3,0,0,0,0.2,0,0,0.1,0,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1970,0,0,0,5.8,0,0.1,0.9,5,0,0.1,0,5.6,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.3,7.9,1.2,0,0,0,0.1,0,0,0.1,0,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1971,0,0,0,5.7,0,0.1,0.9,4.9,0,0.1,0,5.4,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.7,7.6,1.3,0,0,0,0.1,0,0,0.1,0,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1972,0,0,0,5.1,0,0.1,1,5.1,0,0.1,0,4.7,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.7,6.7,1.3,0,0,0,0.4,0,0,0.1,0,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1973,0,0,0,3.9,0,0.1,1,5.2,0,0.1,0,4.8,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.7,6.1,1.6,0,0.2,0,0.2,0,0,0.1,0,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1974,0,0,0,4,0,0,1.5,4.2,0,0,0,5.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0,1.4,8.7,1.4,0,0.1,0,0.7,0,0,0.1,0,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1975,0,0,0,4.2,0,0.1,1.1,4,0,0.1,0,6,0.1,0,0,0,0,0.1,0,0,0,0,0,0,2.5,7.9,1.3,0,0.4,0,0.4,0,0,0.1,0,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1976,0,0,0,4.6,0,0.1,1.1,4.3,0,0.1,0,6.2,0.1,0,0,0,0,0.1,0,0,0,0,0,0,2.5,7.1,1.3,0,0.1,0,1,0,0,0.1,0,0,0.5,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1
